"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"6";"";"C-US025-024X044";"C025-024X044";"C13, C14, C15, C16, C18, C19";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"";"LM317TS";"317TS";"IC2";"VOLTAGE REGULATOR";"";"";"";"";"";
"1";"";"LM337TS";"337TS";"IC1";"VOLTAGE REGULATOR";"";"";"";"";"";
"2";"";"PINHD-1X1";"1X01";"JP3, JP5";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP4";"PIN HEADER";"";"";"";"";"";
"2";".015uF";"C-US050-024X044";"C050-024X044";"C4, C11";"CAPACITOR, American symbol";"";"";"";"";"";
"2";"1.6k";"R-US_0204/5";"0204/5";"R8, R18";"RESISTOR, American symbol";"";"";"";"";"";
"2";"100nF";"C-EU025-025X050";"C025-025X050";"C8, C10";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"10uF";"C-EU025-025X050";"C025-025X050";"C7, C9";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"10uF";"C-US050-030X075";"C050-030X075";"C3, C6";"CAPACITOR, American symbol";"";"";"";"";"";
"2";"16.2k";"R-US_0204/5";"0204/5";"R9, R20";"RESISTOR, American symbol";"";"";"";"";"";
"2";"20k";"TRIM_US-B64W";"B64W";"R13, R14";"POTENTIOMETER";"";"";"";"";"";
"2";"20pF";"C-EU025-030X050";"C025-030X050";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"220";"R-US_0204/7";"0204/7";"R7, R17";"RESISTOR, American symbol";"";"";"";"";"";
"2";"2k";"R-US_0204/5";"0204/5";"R11, R21";"RESISTOR, American symbol";"";"";"";"";"";
"2";"3.3k";"R-US_0204/5";"0204/5";"R1, R3";"RESISTOR, American symbol";"";"";"";"";"";
"2";"3300pF";"C-US025-024X044";"C025-024X044";"C5, C12";"CAPACITOR, American symbol";"";"";"";"";"";
"2";"470";"R-US_0204/5";"0204/5";"R2, R4";"RESISTOR, American symbol";"";"";"";"";"";
"2";"500";"R-US_0204/5";"0204/5";"R12, R22";"RESISTOR, American symbol";"";"";"";"";"";
"4";"560k";"R-US_0204/7";"0204/7";"R5, R6, R15, R16";"RESISTOR, American symbol";"";"";"";"";"";
"2";"7.9k";"R-US_0204/5";"0204/5";"R10, R19";"RESISTOR, American symbol";"";"";"";"";"";
"2";"LT1079CNPBF";"LT1079CNPBF";"DIP254P762X394-14";"U3, U4";"Precision Op Amps";"LT1079CN#PBF";"9559701";"57M1426";"PDIP-14";"Linear Technology";
"2";"LT1097CN8PBF";"LT1097CN8PBF";"DIP254P762X393-8";"U1, U2";"Precision Op Amp";"LT1097CN8#PBF";"9559914";"57M1574";"PDIP";"LINEAR TECHNOLOGY";
